"name","birth_year","email","affiliations","bio"
"M. Tamer Özsu",1995,"m._tamer_özsu@mail.com","ETH Zurich"," Duis rhoncus, arcu ac vulputate blandit, mauris dolor suscipit orci, a tempus ipsum augue in eros"
"Dimitrios Georgakopoulos",1971,"dimitrios_georgakopoulos@mail.com","The University of Edinburgh"," Integer tincidunt sem nunc, eget commodo tortor tincidunt sed"
"Sandra Heiler",1985,"sandra_heiler@mail.com","ETH Zurich","  Proin vitae tempus nisi"
"Benjamin Hurwitz",1952,"benjamin_hurwitz@mail.com","MIT"," Curabitur justo augue, convallis vitae aliquet sed, tristique at ligula"
"David Beech",1997,"david_beech@mail.com","Politecnico di Milano","  Etiam hendrerit rutrum diam, sit amet tincidunt velit ullamcorper vel"
"Cetin Ozbutun",1982,"cetin_ozbutun@mail.com","Politecnico di Milano"," Aliquam pellentesque lacus vitae orci placerat, nec facilisis turpis porta"
"Krishna G. Kulkarni",1952,"krishna_g._kulkarni@mail.com","University of Illinois at Chicago"," Sed sit amet suscipit lacus"
"Jim Melton",1981,"jim_melton@mail.com","MIT"," Pellentesque non ante vitae eros lacinia aliquam"
"Jonathan Bauer",1969,"jonathan_bauer@mail.com","University of Illinois at Chicago"," Cras eu sodales sapien, sed interdum odio"
"Mike Kelley",1984,"mike_kelley@mail.com","Politecnico di Milano"," Curabitur congue eget lectus vitae consequat"
"Phil Shaw",1966,"phil_shaw@mail.com","University of Illinois at Chicago"," Cras quis quam sed augue porta vestibulum at vel arcu"
"Rolf Sander",1999,"rolf_sander@mail.com","MIT"," "
"Thomas Ludwig 0001",2000,"thomas_ludwig_0001@mail.com","The University of Edinburgh"," Cras porttitor velit non ultricies tristique"
"Werner Emde",1987,"werner_emde@mail.com","University of Illinois at Chicago"," Vestibulum porta turpis purus, porttitor molestie sem auctor sed"
"Claus-Rainer Rollinger",1979,"claus-rainer_rollinger@mail.com","University of Illinois at Chicago"," Pellentesque varius eros et felis euismod lacinia"
"Christoph Beierle",1994,"christoph_beierle@mail.com","ETH Zurich"," Quisque eget nunc sed purus consectetur congue vitae vel justo"
"Udo Pletat",2000,"udo_pletat@mail.com","The University of Edinburgh"," Fusce nec tincidunt augue, nec suscipit velit"
"Hans Uszkoreit",1976,"hans_uszkoreit@mail.com","Politecnico di Milano"," Duis ac fermentum tortor, non accumsan turpis"
"Ulrike Rackow",1984,"ulrike_rackow@mail.com","University of Illinois at Chicago"," Suspendisse luctus est vitae tellus fermentum, quis tincidunt nulla consectetur"
"Ido Dagan",1958,"ido_dagan@mail.com","ETH Zurich"," Etiam efficitur elit et mauris tristique maximus"
"Ulrike Schwall",1965,"ulrike_schwall@mail.com","University of Illinois at Chicago"," Maecenas fringilla eget tortor sed posuere"
"Brigitte Bartsch-Spörl",1971,"brigitte_bartsch-spörl@mail.com","MIT"," Donec condimentum enim augue, ac porta dui sagittis at"
"Erich Gehlen",1955,"erich_gehlen@mail.com","Politecnico di Milano","  Fusce eu egestas tortor, non viverra arcu"
"Burkhard Kehrbusch",1969,"burkhard_kehrbusch@mail.com","Technical University of Munich"," Aliquam in velit ligula"
"Markus Höhfeld",2000,"markus_höhfeld@mail.com","University of Illinois at Chicago"," Mauris et ipsum eu sapien gravida lobortis a non justo"
"Gert Smolka",1950,"gert_smolka@mail.com","Politecnico di Torino","  Morbi egestas nisl sem, et pulvinar augue sollicitudin sed"
"Birgit Wesche",1976,"birgit_wesche@mail.com","Technical University of Munich"," Quisque nunc turpis, laoreet et sem tristique, scelerisque fringilla leo"
"Christopher Habel",1991,"christopher_habel@mail.com","Politecnico di Torino"," Integer volutpat felis vitae lorem molestie fringilla"
"Bernd Walter",1998,"bernd_walter@mail.com","Politecnico di Milano"," Curabitur et neque eget nibh mattis hendrerit ut eget nisl"
"Michael Ley",1982,"michael_ley@mail.com","The University of Edinburgh"," In magna orci, elementum at magna vitae, mattis venenatis erat"
"Albert Maier",1976,"albert_maier@mail.com","Politecnico di Milano"," Sed interdum lacus vel justo rhoncus, sed accumsan odio luctus"
"Stefan Benzschawel",1999,"stefan_benzschawel@mail.com","ETH Zurich"," Morbi laoreet arcu sit amet sapien facilisis, in vestibulum lacus scelerisque"
"Egon Börger",1984,"egon_börger@mail.com","The University of Edinburgh"," Cras porttitor velit non ultricies tristique"
"Roland Seiffert",1988,"roland_seiffert@mail.com","The University of Edinburgh"," Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos"
"Gisela Schöpke",1961,"gisela_schöpke@mail.com","The University of Edinburgh"," Donec convallis odio ac neque cursus fermentum"
"Stefan Böttcher",1955,"stefan_böttcher@mail.com","The University of Edinburgh"," Mauris ac sapien tortor"
"Rudi Studer",1978,"rudi_studer@mail.com","Politecnico di Milano"," Proin mattis maximus tortor in laoreet"
"Toni Bollinger",1990,"toni_bollinger@mail.com","Politecnico di Torino"," Aliquam erat volutpat"
"Carola Eschenbach",1979,"carola_eschenbach@mail.com","Politecnico di Milano"," Proin vel lobortis eros, nec facilisis lorem"
"Manfred Schmidt-Schauß",1970,"manfred_schmidt-schauß@mail.com","University of Illinois at Chicago","  Cras ultricies ullamcorper volutpat"
"Hans-Joachim Goltz",1977,"hans-joachim_goltz@mail.com","Politecnico di Milano"," Cras venenatis eu odio feugiat dapibus"
"Otthein Herzog",1964,"otthein_herzog@mail.com","Politecnico di Torino"," Vestibulum viverra diam tortor, et posuere nulla consectetur vitae"
"Bernhard Beckert",1974,"bernhard_beckert@mail.com","MIT"," Morbi et sollicitudin enim"
"Stefan J. Schierholz",1997,"stefan_j._schierholz@mail.com","ETH Zurich"," Praesent id mi in ipsum gravida mollis"
"Birgit Wendholt",1951,"birgit_wendholt@mail.com","Politecnico di Milano"," Cras aliquet, libero sit amet vehicula cursus, sem nibh lacinia metus, id placerat massa nisl sed nisl"
"Gudrun Klose",1983,"gudrun_klose@mail.com","Technical University of Munich","  Pellentesque porta, erat et sagittis tristique, erat eros hendrerit lacus, a interdum mauris lectus in elit"
"Michael Herweg",1971,"michael_herweg@mail.com","MIT"," Morbi facilisis molestie pellentesque"
"Mohammed Nadjib Khenkhar",1963,"mohammed_nadjib_khenkhar@mail.com","ETH Zurich"," Nullam luctus diam quis neque aliquet tempor"
"Simone Pribbenow",1995,"simone_pribbenow@mail.com","MIT"," Curabitur ac erat risus"
"Klaus Rehkämper",1981,"klaus_rehkämper@mail.com","ETH Zurich"," Sed id dignissim justo"
"Anja Theuner",1970,"anja_theuner@mail.com","Politecnico di Torino"," Duis eu lobortis ipsum"
"Peter H. Schmitt",1952,"peter_h._schmitt@mail.com","MIT","  Curabitur interdum iaculis enim a faucibus"
"Claudia Maienborn",1953,"claudia_maienborn@mail.com","Technical University of Munich"," Nulla molestie diam quis nisi tempor tempor"
"Brigitte Bläser",1952,"brigitte_bläser@mail.com","Politecnico di Torino"," Etiam efficitur elit et mauris tristique maximus"
"Angelika Storrer",1967,"angelika_storrer@mail.com","MIT"," Mauris et ipsum eu sapien gravida lobortis a non justo"
"Esther König",1970,"esther_könig@mail.com","The University of Edinburgh"," Nulla at viverra nulla"
"Claudia Mrotzek",1987,"claudia_mrotzek@mail.com","Technical University of Munich"," In hac habitasse platea dictumst"
"Stefan Börner",1990,"stefan_börner@mail.com","Technical University of Munich"," Aenean mattis sodales augue et pretium"
"Lutz Voelkel",1997,"lutz_voelkel@mail.com","MIT","  Ut consequat neque erat"
"Kai-Uwe Carstensen",1989,"kai-uwe_carstensen@mail.com","ETH Zurich"," Nullam vulputate, augue et ornare vestibulum, lectus ante lacinia risus, vitae mollis nisl magna in dui"
"Ulrike Weiland",1951,"ulrike_weiland@mail.com","Politecnico di Milano"," Etiam non mauris placerat, commodo nisl a, dapibus purus"
"Martin Hübner",1956,"martin_hübner@mail.com","Technical University of Munich"," Cras accumsan condimentum lacus, ut dictum lorem viverra eget"
"Michael Czymmeck",1956,"michael_czymmeck@mail.com","MIT"," Sed gravida eros quis mauris efficitur, id efficitur ante pellentesque"
"Michael Tarnowski",1957,"michael_tarnowski@mail.com","Technical University of Munich"," Quisque odio augue, pretium vitae porta et, egestas quis erat"
"Helmar Gust",1970,"helmar_gust@mail.com","ETH Zurich"," Mauris quis arcu ante"
"Petra Ludewig",1960,"petra_ludewig@mail.com","The University of Edinburgh"," Phasellus at hendrerit ligula, sit amet consectetur ex"
"Mechthild Rickheit",1973,"mechthild_rickheit@mail.com","Politecnico di Milano"," Nam nec dolor at sapien mollis cursus"
"Kai von Luck",1992,"kai_von_luck@mail.com","The University of Edinburgh"," Integer non est ex"
"Elisabeth Neugebauer",1982,"elisabeth_neugebauer@mail.com","ETH Zurich"," Proin tincidunt non purus nec dapibus"
"Sitaram Lanka",1992,"sitaram_lanka@mail.com","Technical University of Munich"," Aliquam vitae felis cursus, semper mi non, sollicitudin ex"
"Eric Mays",1997,"eric_mays@mail.com","Technical University of Munich"," Cras non felis accumsan, molestie elit sagittis, tempor sem"
"Petra Maier",1964,"petra_maier@mail.com","Politecnico di Torino"," Pellentesque fringilla erat et iaculis venenatis"
"Michel E. Adiba",1987,"michel_e._adiba@mail.com","University of Illinois at Chicago"," Donec ornare et lacus euismod dignissim"
"Bruce G. Lindsay 0001",1978,"bruce_g._lindsay_0001@mail.com","Politecnico di Torino"," Sed faucibus sapien in lacus hendrerit fringilla"
"Ewald Lang",1978,"ewald_lang@mail.com","Politecnico di Torino"," In a libero quis nisl egestas ornare et vel justo"
"Thomas Pirlein",1997,"thomas_pirlein@mail.com","The University of Edinburgh"," Integer imperdiet pellentesque volutpat"
"Gerd Kortüm",1964,"gerd_kortüm@mail.com","Technical University of Munich"," Maecenas odio felis, lacinia eget ornare sit amet, vestibulum ut erat"
"Ipke Wachsmuth",1982,"ipke_wachsmuth@mail.com","Technical University of Munich"," Proin in tristique ex"
"Ingrid Renz",1967,"ingrid_renz@mail.com","Politecnico di Milano","  Duis sed ullamcorper lectus"
"Noam Paz",1987,"noam_paz@mail.com","Politecnico di Milano"," Pellentesque porttitor justo quis felis iaculis, id posuere justo vulputate"
"Kurt Eberle",1957,"kurt_eberle@mail.com","Politecnico di Torino"," Aliquam scelerisque ex non laoreet porttitor"
"Gregor Erbach",1992,"gregor_erbach@mail.com","The University of Edinburgh"," Fusce vitae velit ante"
"Christos Garidis",1993,"christos_garidis@mail.com","ETH Zurich"," Suspendisse pharetra efficitur odio"
"Jennifer A. Brundage",1982,"jennifer_a._brundage@mail.com","ETH Zurich","  Pellentesque et ex et leo pretium porttitor et et eros"
"Maren Kresse",1957,"maren_kresse@mail.com","Politecnico di Milano","  Donec dignissim enim nec lorem eleifend, quis auctor ante faucibus"
"Eric Windisch",1989,"eric_windisch@mail.com","Politecnico di Milano"," Donec tempus non magna eu ullamcorper"
"Peter Gerstl",1951,"peter_gerstl@mail.com","MIT"," Vestibulum et ipsum et diam tincidunt semper vel semper nisl"
"Dines Bjørner",1978,"dines_bjørner@mail.com","MIT","  Fusce gravida justo orci, non consectetur neque pellentesque facilisis"
"E. F. Codd",1974,"e._f._codd@mail.com","Politecnico di Torino"," Nunc cursus sapien non turpis molestie rhoncus"
"Kenneth L. Deckert",1969,"kenneth_l._deckert@mail.com","Politecnico di Torino"," Vestibulum magna turpis, porta in dolor vitae, pharetra hendrerit ligula"
"Irving L. Traiger",1951,"irving_l._traiger@mail.com","Politecnico di Milano"," Donec ullamcorper leo sapien, ac laoreet ipsum tempus egestas"
"Sonja Müller",1980,"sonja_müller@mail.com","The University of Edinburgh"," Maecenas consequat eleifend nunc id facilisis"
"Rolf Mayer",1986,"rolf_mayer@mail.com","Technical University of Munich","  Sed vel ex ac eros tempus sagittis"
"Rüdiger Wirth",1994,"rüdiger_wirth@mail.com","Technical University of Munich"," Maecenas cursus, lectus vitae rhoncus maximus, odio mauris hendrerit ligula, eu tincidunt elit risus in lacus"
"Holger M. Wittmann",1984,"holger_m._wittmann@mail.com","Politecnico di Torino"," Fusce semper purus non accumsan luctus"
"Jan Wilms",1973,"jan_wilms@mail.com","The University of Edinburgh"," Nam vulputate ligula nisl"
"Kai Lebeth",1980,"kai_lebeth@mail.com","Politecnico di Torino"," Duis vulputate tristique diam, eget lobortis neque suscipit sit amet"
"Bernd Abb",1982,"bernd_abb@mail.com","Politecnico di Torino"," Nunc a leo cursus, aliquet libero vitae, ornare erat"
"Jörg Heinrich",1982,"jörg_heinrich@mail.com","MIT"," Etiam pellentesque venenatis fermentum"
"Andreas Eisele 0001",1989,"andreas_eisele_0001@mail.com","ETH Zurich"," Donec ullamcorper leo sapien, ac laoreet ipsum tempus egestas"
"Jochen Dörre",1997,"jochen_dörre@mail.com","The University of Edinburgh"," Vivamus ac lacus ac nibh rutrum dapibus ultrices eget dui"
"Rainer Bäuerle",1957,"rainer_bäuerle@mail.com","The University of Edinburgh"," Pellentesque eu viverra nunc"
"Sven Lorenz",1988,"sven_lorenz@mail.com","Politecnico di Torino"," Cras ornare pulvinar mi, id vehicula nulla"
"Michael Klein",1990,"michael_klein@mail.com","University of Illinois at Chicago","  Aenean a risus mattis, sollicitudin nisi ac, vulputate ex"
"Robert S. Arnold",1998,"robert_s._arnold@mail.com","Politecnico di Torino"," Proin efficitur imperdiet pellentesque"
"Jean-Marc Cadiou",1965,"jean-marc_cadiou@mail.com","The University of Edinburgh"," Suspendisse potenti"
"Chin-Liang Chang",1995,"chin-liang_chang@mail.com","MIT"," Sed egestas tortor urna"
"Nick Roussopoulos",1981,"nick_roussopoulos@mail.com","MIT"," Nunc porta neque in hendrerit porttitor"
"Tibor Kiss",1978,"tibor_kiss@mail.com","ETH Zurich"," Sed lobortis vitae sem id dictum"
"Wolfgang Wernecke",1956,"wolfgang_wernecke@mail.com","University of Illinois at Chicago"," Sed molestie interdum quam in venenatis"
"Ulrich Hedtstück",1998,"ulrich_hedtstück@mail.com","Politecnico di Milano"," Duis quis feugiat nisl, convallis finibus neque"
"Petra Steffens",1998,"petra_steffens@mail.com","University of Illinois at Chicago"," Aliquam ut lorem sollicitudin, consectetur mauris a, elementum libero"
"Manfred Grothaus",1958,"manfred_grothaus@mail.com","ETH Zurich"," In hac habitasse platea dictumst"
"Karin Klabunde",1988,"karin_klabunde@mail.com","Politecnico di Milano"," Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae;  Ut ultrices ornare sapien eu rhoncus"
"Karl Dotzek",1977,"karl_dotzek@mail.com","MIT"," Mauris tempor vitae mi in placerat"
"Sai Choi Kwan",1958,"sai_choi_kwan@mail.com","MIT"," Integer volutpat felis vitae lorem molestie fringilla"
"H. Raymond Strong",1995,"h._raymond_strong@mail.com","The University of Edinburgh"," Duis tristique dapibus blandit"
"Nikolaus Ott",1969,"nikolaus_ott@mail.com","The University of Edinburgh","  Praesent vel laoreet dui"
"F. Günthner",1962,"f._günthner@mail.com","MIT"," Pellentesque ut blandit urna"
"Siegfried Kanngießer",1999,"siegfried_kanngießer@mail.com","ETH Zurich"," Mauris sit amet tristique metus, volutpat pharetra est"
"Christian Rohrer",1973,"christian_rohrer@mail.com","Politecnico di Torino"," Nam et efficitur diam"
"Elisabeth Breidt",1965,"elisabeth_breidt@mail.com","University of Illinois at Chicago"," Maecenas mattis aliquet ultricies"
"Oliver Wauschkuhn",1993,"oliver_wauschkuhn@mail.com","MIT"," Quisque tincidunt velit a metus faucibus, sed pulvinar arcu dignissim"
"Angi Voß",1987,"angi_voß@mail.com","MIT"," Mauris consequat tortor eget erat fermentum tincidunt"
"Ingo Raasch",1975,"ingo_raasch@mail.com","Technical University of Munich"," Donec rutrum convallis lacus in pretium"
"Bernd I. Dahn",1957,"bernd_i._dahn@mail.com","University of Illinois at Chicago"," Sed quis diam erat"
"Theodor Lettmann",1963,"theodor_lettmann@mail.com","University of Illinois at Chicago"," Quisque vel lectus in ex finibus laoreet sed fermentum justo"
"Wolfgang Schönfeld",1962,"wolfgang_schönfeld@mail.com","Technical University of Munich"," Fusce et elit nulla"
"Jim Gray 0001",1978,"jim_gray_0001@mail.com","ETH Zurich"," Nam eu varius leo"
"Cesare A. Galtieri",1975,"cesare_a._galtieri@mail.com","University of Illinois at Chicago"," Duis eu auctor orci"
"Christoph Lingenfelder",1973,"christoph_lingenfelder@mail.com","MIT","  Ut sed varius nisl, eleifend sollicitudin quam"
"Astrid Schmücker-Schend",1969,"astrid_schmücker-schend@mail.com","Politecnico di Torino"," Maecenas viverra, libero eu malesuada venenatis, mauris sem tempus nisl, a aliquet metus nisl ac orci"
"Joachim Maier",1967,"joachim_maier@mail.com","University of Illinois at Chicago"," Sed vel enim orci"
"Hinrich Schütze",1990,"hinrich_schütze@mail.com","Politecnico di Torino"," Mauris urna lorem, fringilla id libero at, dapibus viverra dolor"
"Jörg H. Siekmann",1975,"jörg_h._siekmann@mail.com","Technical University of Munich"," Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas"
"Herbert J. Leass",1959,"herbert_j._leass@mail.com","University of Illinois at Chicago"," Mauris aliquam, magna eu eleifend dapibus, eros quam imperdiet quam, ac hendrerit odio ex id tellus"
"Walter G. Olthoff",1995,"walter_g._olthoff@mail.com","Politecnico di Milano"," Ut vel sollicitudin ante, et facilisis lacus"
"Reiner Hähnle",1952,"reiner_hähnle@mail.com","Politecnico di Milano"," Vivamus vitae lorem sit amet mi tempus rutrum"
"Stefan Gerberding",1959,"stefan_gerberding@mail.com","Technical University of Munich","  Donec ornare porttitor lorem quis rutrum"
"Werner Kernig",1968,"werner_kernig@mail.com","MIT"," Phasellus sed pretium neque"
"Gregor Meyer",1986,"gregor_meyer@mail.com","The University of Edinburgh","  Vestibulum non ultrices neque"
"Andreas Arning",1996,"andreas_arning@mail.com","Politecnico di Torino"," Maecenas eleifend mattis nibh, id condimentum mauris sodales in"
"Raymond A. Lorie",1979,"raymond_a._lorie@mail.com","Politecnico di Milano"," Integer ornare bibendum libero sit amet viverra"
"Bernhard Nebel",1978,"bernhard_nebel@mail.com","ETH Zurich"," Nam quis enim tristique, imperdiet velit sit amet, ultrices mauris"
"Petra Schulz",1964,"petra_schulz@mail.com","Politecnico di Milano"," Donec sed porta urna"
"Sebastian Millies",1967,"sebastian_millies@mail.com","Politecnico di Torino"," In hac habitasse platea dictumst"
"Heiner Semle",2000,"heiner_semle@mail.com","Technical University of Munich"," Nulla facilisi"
"Anne Schiller",1953,"anne_schiller@mail.com","University of Illinois at Chicago"," Phasellus at pulvinar nisi"
"M. Wermke",1951,"m._wermke@mail.com","The University of Edinburgh"," Donec eu volutpat nulla, non ornare leo"
"Karl-Hans Bläsius",1984,"karl-hans_bläsius@mail.com","MIT","  Pellentesque laoreet, orci et lacinia pellentesque, tellus dolor tincidunt diam, ac imperdiet elit velit in felis"
"Elke Busch",1956,"elke_busch@mail.com","The University of Edinburgh","  Integer dapibus mauris quis eros vestibulum, ut malesuada risus laoreet"
"Jürgen Pietsch",1981,"jürgen_pietsch@mail.com","University of Illinois at Chicago"," In libero velit, porttitor a auctor quis, feugiat at orci"
"R. Zieschank",1965,"r._zieschank@mail.com","MIT"," Vivamus venenatis pretium felis, vitae viverra ex viverra quis"
"D. Marx",1951,"d._marx@mail.com","ETH Zurich"," Duis id augue varius, facilisis felis nec, placerat lacus"
"P. Klug-Lier",1993,"p._klug-lier@mail.com","Politecnico di Milano"," Aliquam erat volutpat"
"Bernd Page",1982,"bernd_page@mail.com","Technical University of Munich"," Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas"
"D. Eberle",1995,"d._eberle@mail.com","Politecnico di Milano"," Vestibulum justo ex, mollis et elementum eget, tristique id lacus"
"Volker Jantzen",1958,"volker_jantzen@mail.com","MIT"," Nam sit amet finibus arcu"
"Ralph Scheubrein",1997,"ralph_scheubrein@mail.com","Politecnico di Milano"," Maecenas odio felis, lacinia eget ornare sit amet, vestibulum ut erat"
"William C. Rounds",1977,"william_c._rounds@mail.com","University of Illinois at Chicago"," Nam a ipsum quis tortor convallis porta"
"Kurt Rothermel",1961,"kurt_rothermel@mail.com","Technical University of Munich"," Sed pretium eros ac mauris tempus aliquam"
"Bart Geurts",1984,"bart_geurts@mail.com","Politecnico di Milano"," Duis rhoncus, arcu ac vulputate blandit, mauris dolor suscipit orci, a tempus ipsum augue in eros"
"Josef Gemander",1951,"josef_gemander@mail.com","The University of Edinburgh"," Etiam vulputate sapien nec hendrerit rutrum"
"Wilfried Hötker",1976,"wilfried_hötker@mail.com","Politecnico di Milano"," Curabitur dignissim euismod mollis"
"Karel Oliva",1997,"karel_oliva@mail.com","Politecnico di Torino"," Curabitur rhoncus suscipit risus, ut consequat dolor suscipit vel"
"Uwe Reyle",1981,"uwe_reyle@mail.com","The University of Edinburgh"," Morbi vitae turpis sit amet ipsum molestie bibendum a eu sem"
"Jutta Kreiß",1983,"jutta_kreiß@mail.com","ETH Zurich"," Sed tincidunt lacus accumsan sem pharetra, id consectetur purus venenatis"
"Jürgen Manowsky",1988,"jürgen_manowsky@mail.com","University of Illinois at Chicago"," Vestibulum justo ex, mollis et elementum eget, tristique id lacus"
"Karl Schlechta",2000,"karl_schlechta@mail.com","ETH Zurich","  Praesent euismod, risus in tristique fringilla, sapien nibh ornare nunc, ac lacinia libero neque id sem"
"Geoffrey Simmons",1980,"geoffrey_simmons@mail.com","Technical University of Munich"," Aliquam erat volutpat"
"Arne Pott",1986,"arne_pott@mail.com","The University of Edinburgh"," Nunc vulputate condimentum semper"
"Rob A. van der Sandt",1985,"rob_a._van_der_sandt@mail.com","The University of Edinburgh"," Donec tempus non magna eu ullamcorper"
"Vera Watson",1995,"vera_watson@mail.com","University of Illinois at Chicago"," Sed malesuada vestibulum ipsum eu vulputate"
"Adrian Müller",1978,"adrian_müller@mail.com","Technical University of Munich"," Mauris sit amet turpis lacus"
"Robert Dionne",1985,"robert_dionne@mail.com","ETH Zurich"," Sed id malesuada mi"
"Robert A. Weida",1978,"robert_a._weida@mail.com","Technical University of Munich"," Etiam accumsan elit vitae diam rhoncus, in tempor ipsum molestie"
"Peter Bosch",1950,"peter_bosch@mail.com","Politecnico di Torino"," Integer sit amet molestie velit"
"George Markowsky",1951,"george_markowsky@mail.com","Technical University of Munich"," In hac habitasse platea dictumst"
"Stefan Bayerl",1972,"stefan_bayerl@mail.com","The University of Edinburgh","  Vivamus congue lorem ac luctus laoreet"
"Günther Görz",1961,"günther_görz@mail.com","ETH Zurich"," Praesent mattis dolor ac bibendum tempus"
"Kjell Johan Sæbø",1996,"kjell_johan_sæbø@mail.com","MIT"," Nullam eleifend felis id diam pharetra mattis"
"Jean-Yves Lerner",1977,"jean-yves_lerner@mail.com","MIT"," Phasellus posuere sodales metus feugiat accumsan"
"Ulrich Schatz",1987,"ulrich_schatz@mail.com","The University of Edinburgh","  Quisque a orci pretium, vestibulum neque non, ultricies magna"
"Gosse Bouma",1988,"gosse_bouma@mail.com","University of Illinois at Chicago"," Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Aliquam non rutrum dolor"
"Raymond F. Boyce",1965,"raymond_f._boyce@mail.com","ETH Zurich"," Nullam finibus lectus ac dui imperdiet pharetra"
"Donald D. Chamberlin",1957,"donald_d._chamberlin@mail.com","Technical University of Munich"," Maecenas nibh est, accumsan a vehicula sit amet, consequat non orci"
"Bradford W. Wade",1953,"bradford_w._wade@mail.com","Politecnico di Milano"," Duis pretium consectetur magna"
"Karin Neuhold",1993,"karin_neuhold@mail.com","The University of Edinburgh","  Sed urna nisl, facilisis eget tortor et, volutpat semper libero"
"Richard Rödler",1986,"richard_rödler@mail.com","The University of Edinburgh"," Etiam et pharetra mi"
"Gerd Hoff",1957,"gerd_hoff@mail.com","Politecnico di Torino"," Maecenas ut dui at erat imperdiet laoreet"
"Martin Mundhenk",1972,"martin_mundhenk@mail.com","University of Illinois at Chicago"," Praesent fermentum facilisis gravida"
"Manfred Laumen",1968,"manfred_laumen@mail.com","ETH Zurich"," In sagittis pharetra ligula, non convallis sapien"
"Christoph Meinel",1966,"christoph_meinel@mail.com","ETH Zurich"," Sed sodales sem vitae dolor fermentum, sit amet dignissim ex vehicula"
"Harald Sack",1979,"harald_sack@mail.com","Politecnico di Torino"," Pellentesque sem nisi, efficitur a nisi quis, malesuada faucibus justo"
"Volker Schillings",1987,"volker_schillings@mail.com","Technical University of Munich"," Maecenas eu hendrerit ex"
"Carsten Damm",1967,"carsten_damm@mail.com","Politecnico di Milano"," Aliquam sed tincidunt felis, fermentum cursus ante"
"Martin Gugat",1958,"martin_gugat@mail.com","Technical University of Munich"," Praesent non maximus tellus, eu auctor sem"
"Nguyen V. Thoai",1962,"nguyen_v._thoai@mail.com","The University of Edinburgh"," Praesent sit amet dictum sapien"
"Friedemann Leibfritz",1950,"friedemann_leibfritz@mail.com","Politecnico di Milano"," Maecenas eu scelerisque elit"
"El-Sayed M. E. Mostafa",1996,"el-sayed_m._e._mostafa@mail.com","University of Illinois at Chicago"," Quisque in malesuada quam, vel cursus nisl"
"Belinda B. King",1968,"belinda_b._king@mail.com","ETH Zurich"," Pellentesque eget ipsum ante"
"Eyal Arian",1961,"eyal_arian@mail.com","Technical University of Munich"," In sed vehicula augue"
"A. Battermann",1973,"a._battermann@mail.com","University of Illinois at Chicago"," Donec aliquam turpis velit"
"Ekkehard W. Sachs",1977,"ekkehard_w._sachs@mail.com","University of Illinois at Chicago"," Quisque odio augue, pretium vitae porta et, egestas quis erat"
"Peter Gritzmann",1983,"peter_gritzmann@mail.com","Technical University of Munich","  Proin at sollicitudin elit"
